"","label","latitude","longitude"
"1469","ATNSD",47.22,14.47
"1470","ATNSM",48.18,14.92
"1471","ATNT3",48.33,16.48
"1472","ATNT9",47.83,16.1
"1473","ATNTA",47.53,16.43
"1474","ATNUF",47.87,16.37
"1475","ATNUZ",47.18,9.8
"1476","ATNVC",48.03,13.53
"1477","ATNWK",48.45,14.07
"1478","ATNWR",47.83,16.28
"1479","ATNWS",47.95,13.23
"1480","ATNYB",48.13,15.05
"1481","ATNZG",48.05,14.33
"1482","ATOAD",48.13,16.7
"1483","ATOAH",48.08,13.65
"1484","ATOAM",48.05,15.22
"1485","ATOBE",47.48,16.5
"1486","ATOBG",48.13,15.53
"1487","ATOBH",48.62,15.1
"1488","ATOBM",48.05,12.98
"1489","ATOBR",47.93,12.93
"1490","ATOBW",47.95,13.82
"1491","ATOCH",48.22,14.08
"1492","ATOCW",48.17,15.47
